,USERID,ORDERDATE,ORDERID,AMOUNTINFO
344,135467,2018-01-02,4142014972,78.0
345,110036,2018-01-02,4163864615,72.0
346,60290,2018-01-02,4199946008,69.0
347,141684,2018-01-02,4198218322,69.0
348,130812,2018-01-02,4190457208,68.0
349,96347,2018-01-02,4196795088,65.9
350,65928,2018-01-02,4185520838,65.9
351,107479,2018-01-02,4187153710,59.0
352,116047,2018-01-02,4191184627,59.0
353,160237,2018-01-02,4192691851,59.0
354,159180,2018-01-02,4190764673,59.0
355,110656,2018-01-02,4190532317,59.0
356,116634,2018-01-02,4101037936,59.0
357,94067,2018-01-02,4188388863,59.0
358,103116,2018-01-02,4195945534,59.0
359,118577,2018-01-02,4007572224,58.0
360,94802,2018-01-02,4031076012,55.0
361,132153,2018-01-02,4200731527,55.0
362,102423,2018-01-02,4196121742,55.0
363,143449,2018-01-02,4202853870,50.0
364,163544,2018-01-02,4152312062,49.0
365,132620,2018-01-02,4190916780,49.0
366,144460,2018-01-02,4166381561,49.0
367,140612,2018-01-02,4190522355,49.0
368,122979,2018-01-02,4195905154,49.0
369,155070,2018-01-02,4197859308,49.0
370,132938,2018-01-02,4191890606,46.9
371,109296,2018-01-02,4195422361,45.0
372,111749,2018-01-02,4194981012,44.9
373,81363,2018-01-02,4195442803,44.9
374,52790,2018-01-02,4118106949,39.0
375,85177,2018-01-02,4198412577,39.0
376,57737,2018-01-02,4196854804,39.0
377,126839,2018-01-02,4192851218,35.0
378,75603,2018-01-02,4195266456,35.0
379,66866,2018-01-02,4131436274,33.8
380,109496,2018-01-02,4199461291,29.9
381,98254,2018-01-02,4193369694,29.9
382,120108,2018-01-02,4203050817,29.0
383,90686,2018-01-02,4194381646,29.0
384,83960,2018-01-02,4189451366,29.0
385,77516,2018-01-02,4017519360,29.0
386,108561,2018-01-02,4193270233,25.0
387,67732,2018-01-02,4193209429,24.7
388,65252,2018-01-02,4196462907,24.0
389,99790,2018-01-02,3952206784,24.0
390,132517,2018-01-02,4198269204,23.9
391,131099,2018-01-02,4080082988,23.9
392,67122,2018-01-02,3980318466,23.9
393,135373,2018-01-02,4111360635,23.9
394,113927,2018-01-02,4200970581,23.0
395,58587,2018-01-02,4171024001,22.9
396,153959,2018-01-02,4189563547,21.9
397,100543,2018-01-02,3982205423,21.9
398,112322,2018-01-02,4118143740,21.9
399,55671,2018-01-02,4194640317,21.6
400,52341,2018-01-02,4191996025,21.6
401,138042,2018-01-02,4197959182,19.9
402,69956,2018-01-02,4196519991,19.9
