date,open,high,low,close,volume
1997-07-07,1161.707,1163.447,1085.572,1096.819,352613300
1997-07-04,1138.921,1163.249,1124.776,1159.342,444542000
1997-07-03,1194.676,1194.676,1149.94,1150.623,373727100
1997-07-02,1255.909,1261.571,1147.331,1199.061,392386100
1997-06-27,1287.923,1291.978,1246.928,1250.272,563251100
1997-06-26,1295.11,1295.15,1280.846,1284.459,410607900
1997-06-25,1309.342,1311.202,1293.352,1297.592,444195700
1997-06-24,1287.185,1304.05,1283.724,1303.928,414551200
1997-06-23,1313.238,1322.983,1265.175,1283.495,621643800
1997-06-20,1243.996,1292.323,1243.996,1291.199,484067000
1997-06-19,1233.676,1250.639,1227.25,1230.74,308720700
1997-06-18,1252.016,1254.896,1230.301,1232.68,328471900
1997-06-17,1260.406,1263.899,1245.335,1245.934,360459600
1997-06-16,1255.766,1269.633,1255.766,1261.466,484055200
1997-06-13,1154.984,1244.239,1154.972,1243.979,454499700
1997-06-12,1224.474,1229.64,1211.799,1212.766,291234600
1997-06-11,1239.504,1244.006,1175.706,1220.395,367009900
1997-06-10,1278.994,1285.044,1239.856,1241.742,275090100
1997-06-09,1275.252,1282.754,1255.672,1274.92,348236600
1997-06-06,1271.313,1314.725,1254.27,1275.304,921891500
1997-06-05,1362.185,1369.513,1346.967,1360.232,602559400
1997-06-04,1345.376,1363.705,1344.591,1361.186,716713700
1997-06-03,1341.68,1344.643,1313.46,1338.756,705919600
1997-06-02,1302.82,1336.424,1302.162,1336.283,634405900
1997-05-30,1261.29,1285.392,1254.621,1285.182,393774700
1997-05-29,1267.519,1282.845,1262.573,1263.349,466189800
1997-05-28,1283.003,1288.737,1265.567,1270.351,480878200
1997-05-27,1258.381,1281.749,1253.25,1281.744,537760900
1997-05-26,1268.592,1275.299,1213.244,1251.551,586391800
1997-05-23,1238.69,1263.518,1225.796,1254.266,539099000
1997-05-22,1248.969,1300.978,1232.203,1235.223,667319500
1997-05-21,1386.845,1389.604,1340.292,1354.882,565277700
1997-05-20,1351.659,1386.369,1351.227,1381.115,535449900
1997-05-19,1330.789,1350.582,1316.131,1344.611,561368400
1997-05-16,1309.598,1394.206,1287.07,1315.921,976828400
1997-05-15,1371.193,1425.303,1360.225,1417.674,674249300
1997-05-14,1447.607,1447.673,1378.028,1379.22,807545900
1997-05-13,1501.247,1501.249,1436.209,1464.282,1080846100
1997-05-12,1490.781,1510.179,1486.447,1500.398,1316287900
1997-05-09,1412.899,1469.079,1394.423,1467.227,960198400
1997-05-08,1496.978,1504.259,1401.594,1405.184,1144965400
1997-05-07,1495.218,1499.621,1464.861,1495.457,1144278900
1997-05-06,1462.025,1483.502,1459.682,1482.993,1158537300
1997-05-05,1398.141,1448.99,1398.048,1448.926,1028834700
1997-04-30,1385.302,1396.481,1376.456,1393.749,833159900
1997-04-29,1353.998,1376.815,1335.755,1376.77,834953300
1997-04-28,1372.26,1381.564,1346.258,1351.997,922612100
1997-04-25,1382.925,1386.265,1363.981,1364.975,1044457100
1997-04-24,1370.174,1386.517,1356.52,1380.281,1003540600
1997-04-23,1370.047,1380.356,1368.649,1378.842,1052266200
1997-04-22,1362.982,1368.881,1354.451,1365.497,1085772100
1997-04-21,1355.559,1365.219,1350.798,1362.075,1237789000
1997-04-18,1325.226,1338.852,1305.955,1338.033,880109800
1997-04-17,1323.419,1331.175,1319.759,1323.369,780300400
1997-04-16,1334.307,1338.423,1318.156,1327.784,969708500
1997-04-15,1318.572,1326.382,1298.181,1324.956,1032030300
1997-04-14,1293.977,1325.666,1293.977,1316.92,1411947400
1997-04-11,1279.341,1283.56,1251.005,1278.525,922372300
1997-04-10,1293.257,1299.742,1279.491,1281.891,1086132900
1997-04-09,1251.571,1286.909,1251.561,1286.849,960450400
1997-04-08,1277.055,1278.295,1246.72,1247.264,805377500
1997-04-07,1259.589,1276.57,1252.754,1276.409,1009888500
1997-04-04,1258.071,1269.735,1251.597,1260.963,1016185200
1997-04-03,1233.819,1246.176,1222.556,1246.03,689152300
1997-04-02,1246.407,1249.573,1232.314,1233.847,758324100
1997-04-01,1243.873,1246.31,1234.246,1241.028,836788800
1997-03-31,1210.015,1234.957,1210.0,1234.617,850575000
1997-03-28,1213.812,1219.036,1199.532,1202.668,753268100
1997-03-27,1220.552,1228.238,1202.766,1214.257,968773700
1997-03-26,1204.211,1215.473,1201.168,1215.308,887276600
1997-03-25,1198.159,1201.621,1180.878,1197.844,900646900
1997-03-24,1186.951,1196.644,1181.333,1191.732,1088861800
1997-03-21,1116.721,1167.209,1116.586,1167.168,738373900
1997-03-20,1162.256,1168.493,1119.674,1120.719,757637400
1997-03-19,1167.042,1170.396,1156.186,1161.265,807192900
1997-03-18,1164.963,1177.02,1148.075,1162.634,1050779400
1997-03-17,1138.275,1159.539,1138.275,1158.476,1128487000
1997-03-14,1114.74,1125.819,1092.704,1125.8,818859300
1997-03-13,1128.709,1131.735,1108.889,1117.281,913994900
